Id,Parent,Label
1,0,Animal
2,0,Food
3,0,Clothing
4,0,Company
5,0,Job
6,0,Movie
7,0,Software
8,0,Country
5,1,Mammal
6,1,Reptile
7,1,Fish
8,1,Birds
9,1,Amphibian
10,1,Insects
11,1,Dinosaur
12,1,Bacteria
13,2,Fruit
14,2,Vegetable
15,2,Meat
16,2,Dairy
17,2,Grain
18,2,Nuts
19,2,Drink
20,2,Junk Food
21,3,Top
22,3,Bottoms
23,3,Shoes
24,3,Hat
25,3,Accessory
26,3,Undergarment
27,3,Neckwear
28,3,Carry on
29,4,Sports
30,4,Fashion
31,4,Internet
32,4,Camera
33,4,Credit Card
34,4,Chocolate
35,4,Telco
36,4,Non Profit
37,5,Arts
38,5,Media
39,5,Medical
40,5,Management
41,5,Education
42,5,Defense
43,5,Finance
44,5,Airline
45,6,Superhero
46,6,Comedy
47,6,Horror
48,6,Musicals
49,6,Animation
50,6,Sci-fi
51,6,Romance
52,6,Documentary
53,7,To Do
54,7,Coding
55,7,Recording
56,7,Word
57,7,Games
58,7,Presentation
59,7,Music
60,7,Messaging
61,8,USA
62,8,China
63,8,Russia
64,8,Germany
65,8,UK
66,8,India
67,8,Japan
