Id,Parent,Label
1,0,Animals
2,0,Food
3,0,Clothing
4,0,Companies
5,1,Mammals
6,1,Reptiles
7,1,Fish
8,1,Birds
9,2,Fruit
10,2,Vegetables
11,2,Meat
12,2,Dairy
13,3,Tops
14,3,Bottoms
15,3,Shoes
16,3,Hats
17,4,Sports
18,4,Fashion
19,4,Internet
20,4,Camera
21,5,Dogs
22,5,Hamsters
23,5,Lion
24,5,Tiger
25,6,Lizards
26,6,Turtles
27,6,Crocodiles
28,6,Snakes
29,7,Catfish
30,7,Salmon
31,7,Tuna
32,7,Guppy
33,8,Pigeon
34,8,Sparrow
35,8,Eagle
36,8,Vulture
37,9,Apple
38,9,Mango
39,9,Grapes
40,9,Watermelon
41,10,Brocolli
42,10,Cabbage
43,10,Kale
44,10,Spinach
45,11,Chicken
46,11,Beef
47,11,Pork
48,11,Mutton
49,12,Cheese
50,12,Cream
51,12,Yoghurt
52,12,Milk
53,13,Shirt
54,13,Coat
55,13,Jacket
56,13,Singlet
57,14,Jeans
58,14,Skirt
59,14,Shorts
60,14,Tights
61,15,Sneakers
62,15,Heels
63,15,Slippers
64,15,Boots
65,16,Fedora
66,16,Beret
67,16,Beanie
68,16,Bucket hat
69,17,Adidas
70,17,Nike
71,17,Puma
72,17,Aasics
73,18,Gucci
74,18,Prada
75,18,Coach
76,18,Burberry
77,19,Google
78,19,Facebook
79,19,Yelp
80,19,Netflix
81,20,Canon
82,20,Polaroid
83,20,Nikon
84,20,GoPro
