Menu Type,Menu Depth,Target Item,Menu Breadth, Mouse
Radial,1,Job,8,true
Radial,1,Clothing,8,true
Radial,1,Animal,8,true
Radial,2,Grain,8,true
Radial,2,Neckwear,8,true
Radial,2,Accessory,8,true
Radial,3,Wheat,8,true
Radial,3,Painter,8,true
Radial,3,Shrek,8,true

Radial,1,Animal,4,true
Radial,1,Food,4,true
Radial,1,Company,4,true
Radial,2,Dairy,4,true
Radial,2,Birds,4,true
Radial,2,Top,4,true
Radial,3,GoPro,4,true
Radial,3,Facebook,4,true
Radial,3,Jacket,4,true

Radial,1,Country,8,false
Radial,1,Software,8,false
Radial,1,Job,8,false
Radial,2,Airline,8,false
Radial,2,Junk Food,8,false
Radial,2,Dinosaur,8,false
Radial,3,Tie,8,false
Radial,3,Cheese,8,false
Radial,3,Coat,8,false

Radial,1,Food,4,false
Radial,1,Animal,4,false
Radial,1,Company,4,false
Radial,2,Shoes,4,false
Radial,2,Bottom,4,false
Radial,2,Meat,4,false
Radial,3,Pork,4,false
Radial,3,Boots,4,false
Radial,3,Gucci,4,false

Marking,1,Movie,8,true
Marking,1,Software,8,true
Marking,1,Animal,8,true
Marking,2,Comedy,8,true
Marking,2,Fashion,8,true
Marking,2,Shoes,8,true
Marking,3,Soldier,8,true
Marking,3,Cabbage,8,true
Marking,3,Singtel,8,true

Marking,1,Clothing,4,true
Marking,1,Company,4,true
Marking,1,Food,4,true
Marking,2,Hat,4,true
Marking,2,Mammal,4,true
Marking,2,Meat,4,true
Marking,3,Jeans,4,true
Marking,3,Beef,4,true
Marking,3,Nike,4,true

Marking,1,Country,8,false
Marking,1,Job,8,false
Marking,1,Clothing,8,false
Marking,2,Horror,8,false
Marking,2,Insects,8,false
Marking,2,Games,8,false
Marking,3,Doctor,8,false
Marking,3,Beanie,8,false
Marking,3,Star Wars,8,false

Marking,1,Food,4,false
Marking,1,Company,4,false
Marking,1,Animal,4,false
Marking,2,Fruit,4,false
Marking,2,Reptile,4,false
Marking,2,Sports,4,false
Marking,3,Grape,4,false
Marking,3,Slippers,4,false
Marking,3,Guppy,4,false
