Menu Type,Menu Depth,Target Item,Menu Breadth, Mouse
Marking,1,Clothing,4,true
Marking,1,Clothing,4,true
Marking,1,Clothing,4,true
Marking,2,Hats,4,true
Marking,2,Hats,4,true
Marking,2,Hats,4,true
Marking,3,Hats,4,true
Marking,3,Hats,4,true
Marking,3,Hats,4,true

Marking,1,Clothing,6,true
Marking,1,Clothing,6,true
Marking,1,Clothing,6,true
Marking,2,Hats,6,true
Marking,2,Hats,6,true
Marking,2,Hats,6,true
Marking,3,Hats,6,true
Marking,3,Hats,6,true
Marking,3,Hats,6,true

Marking,1,Hats,4,false
Marking,1,Hats,4,false
Marking,1,Hats,4,false
Marking,2,Hats,4,false
Marking,2,Hats,4,false
Marking,2,Hats,4,false
Marking,3,Hats,4,false
Marking,3,Hats,4,false
Marking,3,Hats,4,false

Marking,1,Hats,6,false
Marking,1,Hats,6,false
Marking,1,Hats,6,false
Marking,2,Hats,6,false
Marking,2,Hats,6,false
Marking,2,Hats,6,false
Marking,3,Hats,6,false
Marking,3,Hats,6,false
Marking,3,Hats,6,false

Radial,1,Clothing,4,true
Radial,1,Clothing,4,true
Radial,1,Clothing,4,true
Radial,2,Hats,4,true
Radial,2,Hats,4,true
Radial,2,Hats,4,true
Radial,3,Hats,4,true
Radial,3,Hats,4,true
Radial,3,Hats,4,true

Radial,1,Clothing,6,true
Radial,1,Clothing,6,true
Radial,1,Clothing,6,true
Radial,2,Hats,6,true
Radial,2,Hats,6,true
Radial,2,Hats,6,true
Radial,3,Hats,6,true
Radial,3,Hats,6,true
Radial,3,Hats,6,true

Radial,1,Hats,4,false
Radial,1,Hats,4,false
Radial,1,Hats,4,false
Radial,2,Hats,4,false
Radial,2,Hats,4,false
Radial,2,Hats,4,false
Radial,3,Hats,4,false
Radial,3,Hats,4,false
Radial,3,Hats,4,false

Radial,1,Hats,6,false
Radial,1,Hats,6,false
Radial,1,Hats,6,false
Radial,2,Hats,6,false
Radial,2,Hats,6,false
Radial,2,Hats,6,false
Radial,3,Hats,6,false
Radial,3,Hats,6,false
Radial,3,Hats,6,false

Marking,3,Jeans,4,true
Radial,1,Clothing,6,false
Radial,2,Hats,6,false
Radial,3,Jeans,6,false
